Grantor,Grantee,Grantee_Clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
COMMERCE/MARYLAND TOURISM BOARD,PRINCE GEORGES COUNTY CVB,PRINCE GEORGES COUNTY CVB,20772,2017,128041,MARYLAND TOURISM BOARD GRANT,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HEALTH & MENTAL HYGIENE/PREVENTION AND DISEASE CONTROL,Associated Black Charities,ASSOCIATED BLACK CHARITIES,21201,2010,93427,MINORITY OUTREACH,GRANT,1,06/30/2010 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/EARLY CHILDHOOD EDUCATION,WESTED/PUBLICATIONS,WESTED/PUBLICATIONS,94107-1242,2014,1614541,GRANTS FOR STATE ASSESSMENTS,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF HEALTH & MENTAL HYGIENE/FAMILY HEALTH SERVICES & PRIMARY CARE,Maryland Patient Safety Center,MARYLAND PATIENT SAFETY CENTER,21075,2010,213800,BABIES BORN HEALTHY,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,Anacostia Watershed Society,ANACOSTIA WATERSHED SOCIETY,20710,2017,174318,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BEST MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,Washington County Museum of Fine Arts,WASHINGTON COUNTY MUSEUM OF FINE ARTS,21740,2009,55913,GRANT FUNDING FOR THE SUPPORT OF THE COUNTY ARTS COUNCILS,GRANT,1,06/30/2009 12:00:00 AM
BOARDS AND COMMISSIONS/DOMESTIC VIOLENCE CRISIS & SUPPORT SERVICES,"Domestic Violence Center of Howard County, Inc.","DOMESTIC VIOLENCE CENTER OF HOWARD COUNTY, INC.",21045,2014,172082.4,DOMESTIC VIOLENCE PREVENTION,GRANT,1,06/30/2014 12:00:00 AM
MD SMALL BUSINESS DEVELOPMENT FINANCING AUTHORITY,Dacore Investment Group,DACORE INVESTMENT GROUP LLC,20601,2018,103978.94,MARYLAND SMALL BUSINESS DEVELOPMENT FINANCING AUTHORITY (MSBDFA) - EQUITY PARTICIPATION INVESTMENT PROGRAM,LOAN,1,06/30/2018 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION - AID TO NON PUBLIC INSTITUTIONS,Mount St Marys University,MOUNT ST MARY'S UNIVERSITY,21727,2015,1754630,SELLINGER FORMULA AID,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF BUSINESS & ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,Olney Theatre Center for the Arts,OLNEY THEATRE CENTER FOR THE ARTS,20830,2010,216007,"GRANT FUNDING FOR ARTS ORGANIZATIONS, ARRA GRANT",GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND INDUSTRIAL DEVELOPMENT FINANCING AUTHORITY - MIDFA-,BRANCH BANKING & TRUST,BRANCH BANKING & TRUST,20814,2012,2000000,"MARYLAND INDUSTRIAL DEVELOPMENT FINANCING AUTHORITY - MIDFA, LOAN GUARANTEE",LOAN,1,06/30/2012 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT - MARYLAND STATE ARTS COUNCIL,Charles County Arts Alliance Inc,"CHARLES COUNTY ARTS ALLIANCE, INC.",20695 - 0697,2015,96696,MD STATE ARTS COUNCIL COMMUNITY ARTS DEVELOPMENT GRANT,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,"FAIR HILL FARM, INC.","FAIR HILL FARM, INC.",21620-0390,2011,81010,COVER CROP,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION - LMI COMMUNITY GRANTS,Habitat for Humanity Choptank FY15,HABITAT FOR HUMANITY CHOPTANK FY15,21601,2015,170000,ENERGY EFFICIENCY GRANTS FOR EFFICIENCY UPGRADES IN THE LOW AND MODERATE INCOME SECTOR.,GRANT,1,06/30/2015 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Maryland Coalition Against Sexual Assault, Inc. (MCASA)","MARYLAND COALITION AGAINST SEXUAL ASSAULT, INC. (MCASA)",20907,2017,50827,VICTIM ASSISTANCE DISCRETIONARY GRANT TRAINING PROGRAM,GRANT,1,06/30/2017 12:00:00 AM
LIFE SCIENCE INVESTMENT FUND,Rise Therapeutics,RISE THERAPEUTICS,20850,2018,200000,COMMERCIALIZATION INVESTMENT,LOAN,1,06/30/2018 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT - OAG COUNSELING,Asian American Homeowners,ASIAN-AMERICAN  HOMEOWNERSHIP COUNSELING INC.,20852,2015,122000,OAG COUNSELING,GRANT,1,06/30/2015 12:00:00 AM
